Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Abbedagge,,MID,18,66.70%,4,4,2.6,6.1,8.5,418,64.80%,27.9,561,1.44,0.58,0.27,0.22,104,-5,-281,22.20%,16.70%,0,4
Ablazeolive,,MID,19,47.40%,2.7,2.6,2.8,4.9,8.4,389,63.60%,29.4,567,1.15,0.45,0.21,0.18,-159,-1,-277,10.50%,21.10%,0,8
Aphromoo,,ADC,1,100%,11,1,1,10,5.9,338,84.60%,9.7,191,0.84,0.34,0.18,0.29,576,-4,144,0%,0%,0,-
Aphromoo,,SUPPORT,19,47.40%,2.2,0.5,3.3,6.6,1,218,65.60%,6.2,97,2.37,1.34,0.33,0.44,-26,-2,170,21.10%,0%,0,-
Arrow,,ADC,10,20%,2.7,2.9,2.1,2.7,8.3,380,54.60%,22.3,383,1.16,0.49,0.31,0.2,-431,-11,-387,10%,0%,0,1
Berserker,,ADC,18,72.20%,5.8,3.4,1.4,4.6,9.7,433,59.20%,26.4,512,1.17,0.43,0.3,0.16,-211,1,122,11.10%,11.10%,0,2
Biofrost,,SUPPORT,18,44.40%,3.8,0.7,2.1,7.4,0.9,231,74.70%,10,161,2.85,1.6,0.39,0.5,203,-3,-61,22.20%,5.60%,0,1
Bjergsen,,MID,18,77.80%,8.9,3.3,1.2,7.1,9,418,68.90%,25.1,506,1.02,0.39,0.15,0.13,15,-3,45,27.80%,11.10%,0,1
Blaber,,JUNGLE,18,72.20%,4.2,2.8,2.3,7.1,7.1,383,71.80%,16.6,327,1.35,0.32,0.32,0.21,290,8,263,33.30%,16.70%,0,1
Blue,,MID,18,44.40%,3.7,2.8,1.9,4.2,9.5,419,68.90%,27.5,456,1.14,0.41,0.26,0.13,1,0,74,27.80%,11.10%,0,3
Breezy,,SUPPORT,1,0%,0.8,0,4,3,1.7,208,50%,8.4,134,1.79,1.24,0.32,0.5,-622,3,387,0%,0%,0,-
Bwipo,,TOP,18,77.80%,3.4,3,2.5,5.4,9.4,441,56.40%,25.8,501,1.14,0.47,0.2,0.22,541,9,464,16.70%,0%,0,8
Chad,,JUNGLE,1,0%,0.8,0,6,5,4.1,250,83.30%,12.1,220,0.54,0.3,0.13,0.17,-1976,-60,-2565,0%,100%,0,-
Closer,,JUNGLE,18,66.70%,5.5,3.2,2,7.9,5.6,349,71.10%,14.6,292,1.29,0.38,0.32,0.25,142,-2,94,50%,5.60%,0,4
Contractz,,JUNGLE,17,35.30%,1.7,2.4,4.3,4.8,5.5,319,67.10%,15.8,294,1.29,0.4,0.34,0.32,-437,-3,-67,52.90%,17.60%,0,4
CoreJJ,,SUPPORT,11,81.80%,6,1.1,2.1,11.4,1.2,245,76.20%,6.5,140,2.82,1.46,0.43,0.39,191,3,91,54.50%,0%,0,1
Danny,,ADC,19,52.60%,4.4,4.9,1.9,3.5,10.4,472,65.30%,32.5,589,1.23,0.4,0.41,0.14,399,5,289,21.10%,21.10%,1,5
Destiny,,SUPPORT,17,29.40%,2.3,0.4,3,6.5,1,218,65.40%,6.3,118,2.72,1.65,0.35,0.5,-184,1,-209,35.30%,5.90%,0,-
Dhokla,,TOP,1,0%,0.2,0,5,1,7.9,338,16.70%,21.8,347,0.55,0.37,0.09,0.09,-866,-6,-1979,0%,0%,0,-
Eyla,,SUPPORT,7,71.40%,3.3,0.9,2.6,7.6,1.1,234,65.90%,8.1,140,2.75,1.49,0.37,0.44,-74,-1,26,71.40%,0%,0,-
FBI,,ADC,17,64.70%,5.7,4.2,1.9,6.8,9.4,447,67.90%,29,591,1.12,0.45,0.3,0.17,130,2,-57,17.60%,5.90%,0,3
FBI,,SUPPORT,1,100%,8,2,2,14,2.1,308,84.20%,18.6,448,2.44,1.13,0.24,0.16,1040,-5,1329,0%,0%,0,-
FakeGod,,TOP,18,44.40%,2.4,1.9,2.2,3.5,8.2,372,50.90%,23.5,393,1.12,0.43,0.19,0.16,-423,-6,-222,11.10%,22.20%,0,6
Fudge,,MID,18,72.20%,5.8,3,1.6,6.3,8.9,406,68.50%,21.1,411,1.1,0.39,0.21,0.04,-52,0,285,22.20%,0%,0,2
Hans sama,,ADC,18,77.80%,5.5,3.9,1.9,6.4,10,453,67.70%,27.2,530,1.32,0.46,0.4,0.17,410,8,231,44.40%,0%,0,-
Huhi,,ADC,1,100%,10,1,1,9,5.7,298,52.60%,8.6,207,1.18,0.39,0.26,0.34,-441,-18,-1086,0%,0%,0,-
Huhi,,SUPPORT,17,64.70%,3.7,1.1,2.9,9.6,1.1,241,68%,6.6,128,3.03,1.81,0.39,0.56,185,1,351,23.50%,0%,0,-
Huni,,TOP,18,27.80%,2.5,2.2,3.2,5.7,7.5,385,62.30%,25.3,455,1.15,0.49,0.18,0.17,-169,-14,-682,5.60%,16.70%,0,1
Impact,,TOP,19,52.60%,3,2.5,2.2,4.2,8.1,385,53.90%,23.3,419,1.09,0.39,0.22,0.11,29,-2,179,10.50%,5.30%,0,10
Inspired,,JUNGLE,19,52.60%,5.4,2.3,1.7,6.8,6,341,71.90%,12.9,226,1.45,0.38,0.33,0.25,19,2,58,31.60%,5.30%,0,2
Jenkins,,TOP,17,35.30%,1.7,2.1,3.1,3.1,8.2,379,48.30%,24.3,466,0.98,0.43,0.19,0.22,-129,0,-66,11.80%,0%,0,4
Joey,,SUPPORT,1,0%,0.8,1,6,4,1.3,226,50%,11.8,145,2.68,1.28,0.54,0.43,248,7,-866,100%,0%,0,-
Johnsun,,SUPPORT,1,100%,-,1,0,8,2.6,319,69.20%,18.3,359,3.26,1.36,0.57,0.13,1227,15,538,0%,0%,0,-
Johnsun,,ADC,19,47.40%,4,4.2,2,3.8,9.8,445,70.20%,30.5,484,1.5,0.52,0.39,0.17,130,5,158,26.30%,10.50%,0,3
Josedeodo,,JUNGLE,20,50%,3.6,2.2,2.3,5.9,5.7,326,71.20%,14.5,235,1.65,0.39,0.48,0.34,-105,-2,-53,35%,25%,0,3
